location,id,title,expires,branch,tenure,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,type_of_appt,pay_plan,pay,pb_order
"Raleigh, NC",3782,"United States Marshal, North Carolina, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Scott J. Parker,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,310
"Greensboro, NC",3783,"United States Marshal, North Carolina, Middle District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Willie R. Stafford III,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,315
"Charlotte, NC",3784,"United States Marshal, North Carolina, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Kelly M. Nesbit,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,320
"Bismarck, ND",3785,"United States Marshal, North Dakota",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Paul Ward,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,325
"Cleveland, OH",3786,"United States Marshal, Ohio, Northern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Peter J. Elliott,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",330
"Cincinnati, OH",3787,"United States Marshal, Ohio, Southern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Vacant,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),,335
"Muskogee, OK",3788,"United States Marshal, Oklahoma, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,John W. Loyd,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,340
"Tulsa, OK",3789,"United States Marshal, Oklahoma, Northern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Clayton D. Johnson,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,345
"Washington, DC",379,Protocol Officer,,Executive,,Department of Commerce,Office of The Secretary - Office of the Chief of Staff,4894,4884,30,Deilia Jackson,Schedule C Excepted Appointment(SC),General Schedule(GS),11,55
"Oklahoma City, OK",3790,"United States Marshal, Oklahoma, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Charles T. Weeks II,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,350
"Portland, OR",3791,"United States Marshal, Oregon",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Russel E. Burger,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",355
"Philadelphia, PA",3792,"United States Marshal, Pennsylvania, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,David Blake Webb,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",360
"Lackawanna, PA",3793,"United States Marshal, Pennsylvania, Middle District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Martin J. Pane,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",365
"Pittsburgh, PA",3794,"United States Marshal, Pennsylvania, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Steven R. Frank,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,370
"San Juan, Puerto Rico",3795,"United States Marshal, Puerto Rico",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Vacant,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),,375
"Providence, RI",3796,"United States Marshal, Rhode Island",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Jamie Hainsworth,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,380
"Columbia, SC",3797,"United States Marshal, South Carolina",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Kelvin C. Washington,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",385
"Sioux Falls, SD",3798,"United States Marshal, South Dakota",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Paul C. Thielen,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,390
"Knoxville, TN",3799,"United States Marshal, Tennessee, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,James T. Fowler,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,395
"Washington, DC",38,Deputy Press Secretary,,Executive,,Department of Agriculture,Office of Communications,6730,6752,30,Stephanie Catherine Chan,Schedule C Excepted Appointment(SC),General Schedule(GS),11,45
"Washington, DC",380,Special Assistant to the Chief of Staff,,Executive,,Department of Commerce,Office of The Secretary - Office of the Chief of Staff,4894,4884,30,Aparna Paladugu,Schedule C Excepted Appointment(SC),General Schedule(GS),9,60
"Nashville, TN",3800,"United States Marshal, Tennessee, Middle District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Denny W. King,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,400
"Memphis, TN",3801,"United States Marshal, Tennessee, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Jeffrey T. Holt,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,405
"Beaumont, TX",3802,"United States Marshal, Texas, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Vacant,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),,410
"Dallas, TX",3803,"United States Marshal, Texas, Northern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Randy P. Ely,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",415
"Houston, TX",3804,"United States Marshal, Texas, Southern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Vacant,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),,420
"San Antonio, TX",3805,"United States Marshal, Texas, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Robert R. Almonte,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",425
"Salt Lake City, UT",3806,"United States Marshal, Utah",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,James A. Thompson,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,430
"Burlington, VT",3807,"United States Marshal, Vermont",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,David E. Demag,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,435
"St. Thomas, Virgin Islands",3808,"United States Marshal, Virgin Islands",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Vacant,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,440
"Alexandria, VA",3809,"United States Marshal, Virginia, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Robert W. Mathieson,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",445
"Washington, DC",381,Confidential Assistant to the Deputy Chief of Staff,,Executive,,Department of Commerce,Office of The Secretary - Office of the Chief of Staff,4894,4884,30,Victoria Leung Din,Schedule C Excepted Appointment(SC),General Schedule(GS),7,65
"Roanoke, VA",3810,"United States Marshal, Virginia, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Gerald S. Holt,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,450
"Spokane, WA",3811,"United States Marshal, Washington, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Craig E. Thayer,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,455
"Seattle, WA",3812,"United States Marshal, Washington, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Mark L. Ericks,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),"$155,500 ",460
"Clarksburg, WV",3813,"United States Marshal, West Virginia, Northern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Gary M. Gaskins,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,465
"Beckley, WV",3814,"United States Marshal, West Virginia, Southern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,John D. Foster,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,470
"Milwaukee, WI",3815,"United States Marshal, Wisconsin, Eastern District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Kevin A. Carr,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,475
"Madison, WI",3816,"United States Marshal, Wisconsin, Western District",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Dallas S. Neville,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,480
"Cheyenne, WY",3817,"United States Marshal, Wyoming",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Joseph C. Moore,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,485
"Agana, Guam",3818,"United States Marshal, Guam/Northern Mariana Islands",,Executive,,Department of Justice,United States Marshals Service,4425,4472,370,Frank Leon Guerrero,Presidential Appointment with Senate Confirmation(PAS),General Schedule(GS),15,490
"Washington, DC",3819,Director,,Executive,,Department of Justice,Federal Bureau of Prisons,4420,4472,380,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Washington, DC",382,Director,,Executive,,Department of Commerce,Office of The Secretary - Office of White House Liaison,4895,4884,40,John C. Connor,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Washington, DC",3820,"Director, National Institute of Corrections",,Executive,,Department of Justice,Federal Bureau of Prisons,4420,4472,380,Morris L. Thigpen,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3821,Inspector General,,Executive,,Department of Justice,Office of the Inspector General,6906,6903,10,Michael E. Horowitz,Presidential Appointment with Senate Confirmation(PAS),Other Pay Plan* (all those not listed separately)(OT),"$170,259 ",1
"Washington, DC",3822,Secretary,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Hilda Solis,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),I,5
"Washington, DC",3823,Chief of Staff,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Ana Mak Ma,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3824,Deputy Chief of Staff,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Mary Elizabeth Maxwell,Noncareer Appointment(NA),Senior Executive Service(ES),,15
"Washington, DC",3825,White House Liaison,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Maya E. Goines,Schedule C Excepted Appointment(SC),General Schedule(GS),14,20
"Washington, DC",3826,Executive Assistant and Director of Scheduling and Advance,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Cortney Elizabeth Hoover-Bright,Schedule C Excepted Appointment(SC),General Schedule(GS),14,25
"Washington, DC",3827,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Cindy I. Chen,Schedule C Excepted Appointment(SC),General Schedule(GS),13,30
"Washington, DC",3828,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Maria Lucero Ortiz,Schedule C Excepted Appointment(SC),General Schedule(GS),13,35
"Washington, DC",3829,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Joseph Henriquez McNearney,Schedule C Excepted Appointment(SC),General Schedule(GS),13,40
"Washington, DC",383,Deputy Director,,Executive,,Department of Commerce,Office of The Secretary - Office of White House Liaison,4895,4884,40,Kristin Sheehy,Schedule C Excepted Appointment(SC),General Schedule(GS),13,10
"Washington, DC",3830,Chief Economist,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Adriana D. Kugler,Schedule C Excepted Appointment(SC),Senior Level(SL),,45
"Washington, DC",3831,Senior Counselor,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Irasema T. Garza,Noncareer Appointment(NA),Senior Executive Service(ES),,50
"Washington, DC",3832,Director of Recovery for Auto Communities and Workers,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Roy Kojo Jawara Williams,Noncareer Appointment(NA),Senior Executive Service(ES),,55
"Washington, DC",3833,Deputy Director of Recovery for Auto Communities and Workers,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,John T. Metcalf,Schedule C Excepted Appointment(SC),General Schedule(GS),15,60
"Washington, DC",3834,"Director, Faith Based and Community Initiatives",,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Philip Tom,Schedule C Excepted Appointment(SC),General Schedule(GS),15,65
"Washington, DC",3835,"Associate Director, Faith Based and Community Initiatives",,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Benjamin Seigel,Schedule C Excepted Appointment(SC),General Schedule(GS),15,70
"Washington, DC",3836,Director of Public Engagement,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Gabriela D. Lemus,Schedule C Excepted Appointment(SC),General Schedule(GS),15,75
"Washington, DC",3837,Policy Advisor,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Zachary A. Epstein,Schedule C Excepted Appointment(SC),General Schedule(GS),11,80
"Washington, DC",3838,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Roberto Carlos Soberanis,Schedule C Excepted Appointment(SC),General Schedule(GS),13,85
"Washington, DC",3839,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Harin J. Contractor,Schedule C Excepted Appointment(SC),General Schedule(GS),13,90
"Washington, DC",384,Special Assistant,,Executive,,Department of Commerce,Office of The Secretary - Office of White House Liaison,4895,4884,40,Jamal Pope,Schedule C Excepted Appointment(SC),General Schedule(GS),9,15
"Washington, DC",3840,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Meki Bracken,Schedule C Excepted Appointment(SC),General Schedule(GS),13,95
"Washington, DC",3841,Scheduler,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Soledad N. Roybal,Schedule C Excepted Appointment(SC),General Schedule(GS),13,100
"Washington, DC",3842,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Tom L. Kelly,Schedule C Excepted Appointment(SC),General Schedule(GS),12,105
"Washington, DC",3843,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Jeremy Bishop,Schedule C Excepted Appointment(SC),General Schedule(GS),12,110
"Washington, DC",3844,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Joseph J. Martinez,Schedule C Excepted Appointment(SC),General Schedule(GS),12,115
"Washington, DC",3845,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Lauren E. Leonard,Schedule C Excepted Appointment(SC),General Schedule(GS),11,120
"Washington, DC",3846,Special Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,A'Shanti Fayshel Gholar,Schedule C Excepted Appointment(SC),General Schedule(GS),11,125
"Washington, DC",3847,Staff Assistant,,Executive,,Department of Labor,Office of The Secretary,5452,5451,10,Jose Alberto Rodriguez,Schedule C Excepted Appointment(SC),General Schedule(GS),9,130
"Washington, DC",3848,Deputy Secretary,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Seth Harris,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),II,5
"Washington, DC",3849,Associate Deputy Secretary,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Laura V. Mcclintock,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",385,Director,,Executive,,Department of Commerce,Office of The Secretary - Office of Executive Secretariat,4896,4884,50,Latoya Murphy,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Washington, DC",3850,Associate Deputy Secretary,6/19/2013,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Nancy M. Rooney,Limited Term Appointment(TA),Senior Executive Service(ES),,15
"Washington, DC",3851,Counselor in the Office of the Deputy Secretary,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Yvette Marie Meftah,Noncareer Appointment(NA),Senior Executive Service(ES),,20
"Washington, DC",3852,Executive Secretary,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Elizabeth O. Kim,Noncareer Appointment(NA),Senior Executive Service(ES),,25
"Washington, DC",3853,Senior Advisor to the Deputy Secretary,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Xavier Hughes,Schedule C Excepted Appointment(SC),General Schedule(GS),15,35
"Washington, DC",3854,Special Assistant,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Natalie Palugyai,Schedule C Excepted Appointment(SC),General Schedule(GS),15,40
"Washington, DC",3855,Special Assistant,,Executive,,Department of Labor,Office of the Deputy Secretary,5444,5452,20,Adam Brickman,Schedule C Excepted Appointment(SC),General Schedule(GS),9,45
"Washington, DC",3856,Director,,Executive,,Department of Labor,Women's Bureau,5454,5451,30,Vacant,Presidential Appointment with Senate Confirmation(PAS),Senior Level(SL),,5
"Washington, DC",3857,Deputy Director,,Executive,,Department of Labor,Women's Bureau,5454,5451,30,Latifa Lyles,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3858,Chief of Staff,,Executive,,Department of Labor,Women's Bureau,5454,5451,30,Sandra Vega,Schedule C Excepted Appointment(SC),General Schedule(GS),15,15
"Washington, DC",3859,Senior Policy Advisor,,Executive,,Department of Labor,Women's Bureau,5454,5451,30,Nancy Santiago Negron,Schedule C Excepted Appointment(SC),General Schedule(GS),15,20
"Washington, DC",386,Deputy Director,,Executive,,Department of Commerce,Office of The Secretary - Office of Executive Secretariat,4896,4884,50,Madhura Valverde,Schedule C Excepted Appointment(SC),General Schedule(GS),13,10
"Washington, DC",3860,Special Assistant,,Executive,,Department of Labor,Women's Bureau,5454,5451,30,Kathleen Gaspard,Schedule C Excepted Appointment(SC),General Schedule(GS),11,25
"Washington, DC",3861,Assistant Secretary,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Vacant,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5
"Washington, DC",3862,Senior Advisor for Communications and Public Affairs,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Carl A. Fillichio,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3863,Senior Managing Director,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Elizabeth N. Alexander,Noncareer Appointment(NA),Senior Executive Service(ES),,15
"Washington, DC",3864,Speechwriter,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Eric Kleiman,Schedule C Excepted Appointment(SC),General Schedule(GS),15,20
"Washington, DC",3865,Speechwriter,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Emilia Pablo Montano,Schedule C Excepted Appointment(SC),General Schedule(GS),12,25
"Washington, DC",3866,Speechwriter,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Adrian Solorzano Haro,Schedule C Excepted Appointment(SC),General Schedule(GS),11,30
"Washington, DC",3867,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Joshua R. Lamont,Schedule C Excepted Appointment(SC),General Schedule(GS),15,35
"Washington, DC",3868,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Jason Surbey,Schedule C Excepted Appointment(SC),General Schedule(GS),14,40
"Washington, DC",3869,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Sonia Melendez,Schedule C Excepted Appointment(SC),General Schedule(GS),14,45
"Washington, DC",387,Special Assistant,,Executive,,Department of Commerce,Office of The Secretary - Office of Executive Secretariat,4896,4884,50,Brian P. Brothman,Schedule C Excepted Appointment(SC),General Schedule(GS),11,15
"Washington, DC",3870,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,David S. Roberts,Schedule C Excepted Appointment(SC),General Schedule(GS),13,50
"Washington, DC",3871,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Clarisse A. Young,Schedule C Excepted Appointment(SC),General Schedule(GS),12,55
"Washington, DC",3872,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Treci Johnson,Schedule C Excepted Appointment(SC),General Schedule(GS),11,60
"Washington, DC",3873,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Jesse W. Lawder,Schedule C Excepted Appointment(SC),General Schedule(GS),11,65
"Washington, DC",3874,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Jason Kuruvilla,Schedule C Excepted Appointment(SC),General Schedule(GS),9,70
"Washington, DC",3875,Special Assistant,,Executive,,Department of Labor,Office of Public Affairs,5447,5451,50,Adriano T. Llosa,Schedule C Excepted Appointment(SC),General Schedule(GS),7,75
"Washington, DC",3876,Assistant Secretary,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Brian Vincent Kennedy,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5
"Washington, DC",3877,Deputy Assistant Secretary for Congressional Affairs,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Adri D. Jayaratne,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3878,Deputy Assistant Secretary for Operations,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Terry Bergman,Noncareer Appointment(NA),Senior Executive Service(ES),,15
"Washington, DC",3879,Chief of Staff,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Julia McKinney,Schedule C Excepted Appointment(SC),General Schedule(GS),14,20
"Washington, DC",388,Confidential Assistant,,Executive,,Department of Commerce,Office of The Secretary - Office of Executive Secretariat,4896,4884,50,Gregory M. Cuneo,Schedule C Excepted Appointment(SC),General Schedule(GS),9,20
"Washington, DC",3880,"Director, Intergovernmental Affairs",,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Elmy A. Bermejo,Schedule C Excepted Appointment(SC),General Schedule(GS),15,25
"Washington, DC",3881,Deputy Director of Intergovernmental Affairs,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Carrianna Suiter,Schedule C Excepted Appointment(SC),General Schedule(GS),11,30
"Washington, DC",3882,Senior Counselor,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Patrick Findlay,Schedule C Excepted Appointment(SC),General Schedule(GS),15,35
"Washington, DC",3883,Senior Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Margaret M. Cantrell,Schedule C Excepted Appointment(SC),General Schedule(GS),15,40
"Chicago, IL",3884,Regional Representative,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Kenneth F. Williams-Bennett,Schedule C Excepted Appointment(SC),General Schedule(GS),15,45
"New York, NY",3885,Regional Representative,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Robert Asaro Angelo,Schedule C Excepted Appointment(SC),General Schedule(GS),15,50
"Miami, FL",3886,Regional Representative,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Marie Milagros Herrera,Schedule C Excepted Appointment(SC),General Schedule(GS),15,55
"Los Angeles, CA",3887,Regional Representative,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Alicia Villarreal,Schedule C Excepted Appointment(SC),General Schedule(GS),15,60
"Denver, CO",3888,Regional Representative,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Dusti Gurule,Schedule C Excepted Appointment(SC),General Schedule(GS),14,75
"Washington, DC",3889,Senior Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Anthony D. Zaffirini,Schedule C Excepted Appointment(SC),General Schedule(GS),14,85
"Washington, DC",389,Confidential Assistant,,Executive,,Department of Commerce,Office of The Secretary - Office of Executive Secretariat,4896,4884,50,Bontu Itana,Schedule C Excepted Appointment(SC),General Schedule(GS),9,25
"Washington, DC",3890,Senior Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Laura MacDonald,Schedule C Excepted Appointment(SC),General Schedule(GS),14,90
"Washington, DC",3891,Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Andria D. Oliver,Schedule C Excepted Appointment(SC),General Schedule(GS),13,95
"Washington, DC",3892,Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Laura De La Torre,Schedule C Excepted Appointment(SC),General Schedule(GS),11,100
"Washington, DC",3893,Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Michelle Rose,Schedule C Excepted Appointment(SC),General Schedule(GS),11,105
"Washington, DC",3894,Legislative Officer,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Carmen Torres,Schedule C Excepted Appointment(SC),General Schedule(GS),11,110
"Washington, DC",3895,Legislative Assistant,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Rahsheim A. Wright,Schedule C Excepted Appointment(SC),General Schedule(GS),9,115
"Washington, DC",3896,Legislative Assistant,,Executive,,Department of Labor,Office of Congressional and Intergovernmental Affairs,5448,5451,60,Brittany Diegel,Schedule C Excepted Appointment(SC),General Schedule(GS),5,120
"Washington, DC",3897,Deputy Under Secretary for International Affairs,,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Vacant,,Senior Executive Service(ES),,5
"Washington, DC",3898,Associate Deputy Under Secretary for International Affairs,,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Carol Pier,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3899,"Director, Office of Child Labor, Forced Labor Human Trafficking",,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Washington, DC",39,Chief Information Officer,,Executive,,Department of Agriculture,Office of the Chief Information Officer,6745,6752,40,Vacant,,Senior Executive Service(ES),,5
"Washington, DC",390,Director,,Executive,,Department of Commerce,Office of The Secretary - Office of Business Liaison,4897,4884,60,Matthew T. McGuire,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Washington, DC",3900,Chief of Staff,,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Amit Pandya,Schedule C Excepted Appointment(SC),General Schedule(GS),15,20
"Washington, DC",3901,Senior Policy Advisor for International Labor Affairs,,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Eric R. Biel,Schedule C Excepted Appointment(SC),General Schedule(GS),15,25
"Washington, DC",3902,Special Assistant,,Executive,,Department of Labor,Bureau of International Labor Affairs,5449,5451,70,Kathleen Nell Schalch,Schedule C Excepted Appointment(SC),General Schedule(GS),15,30
"Washington, DC",3903,Assistant Secretary,,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Vacant,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5
"Washington, DC",3904,Deputy Assistant Secretary,,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Megan Uzzell,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Washington, DC",3905,Deputy Assistant Secretary (Operations and Analysis),,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Vacant,,Senior Executive Service(ES),,15
"Washington, DC",3906,"Director, Office of Regulatory and Programmatic Policy",,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Vacant,,Senior Executive Service(ES),,20
"Washington, DC",3907,Associate Assistant Secretary for Regulatory Affairs,,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Vacant,,Senior Executive Service(ES),,25
"Washington, DC",3908,Senior Policy Advisor,,Executive,,Department of Labor,Office of the Assistant Secretary for Policy,5455,5451,80,Jonathan Njus,Schedule C Excepted Appointment(SC),General Schedule(GS),14,35
