title,expires,branch,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,tenure,type_of_appt,pay_plan,pay,pb_order,location,id
"Deputy Chief Actuary, Short Range Estimates",,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE CHIEF ACTUARY,40138,37300,20,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1877
"Deputy Chief Actuary, Long Range Estimates",,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE CHIEF ACTUARY,40138,37300,20,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1878
Chief Strategic Officer,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE CHIEF STRATEGIC OFFICER,37277,37300,30,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1879
Commissioner,4/13/2019,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,James C. Giancarlo,5 Years,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,10,"Washington, DC",188
Deputy Chief Strategic Officer,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE CHIEF STRATEGIC OFFICER,37277,37300,30,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1880
Executive Director for Open Government,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE CHIEF STRATEGIC OFFICER,37277,37300,30,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1881
"Deputy Commissioner for Budget, Finance, Quality, and Management",,Executive,SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, QUALITY AND MANAGEMENT",37287,37300,40,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1882
"Assistant Deputy Commissioner for Budget, Finance, Quality and Management",,Executive,SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, QUALITY AND MANAGEMENT",37287,37300,40,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1883
"Assistant Deputy Commissioner for Budget, Finance, Quality, and Management (Quality and Management)",,Executive,SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, QUALITY AND MANAGEMENT",37287,37300,40,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1884
"Senior Advisor to the Deputy Commissioner for Budget, Finance, Quality, and Management",,Executive,SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, QUALITY AND MANAGEMENT",37287,37300,40,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Woodlawn, MD",1885
"Senior Advisor to the Deputy Commissioner for Budget, Finance, Quality and Management",,Executive,SOCIAL SECURITY ADMINISTRATION,"OFFICE OF BUDGET, FINANCE, QUALITY AND MANAGEMENT",37287,37300,40,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,25,"Woodlawn, MD",1886
Associate Commissioner for Acquisition and Grants,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Acquisition and Grants,40168,37287,50,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1887
Deputy Associate Commissioner for Acquisition and Grants,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Acquisition and Grants,40168,37287,50,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1888
Associate Commissioner for Anti Fraud Programs,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Anti-Fraud Programs,40151,37287,60,Vacant,,,Senior Executive Service(ES),,5,"Woodlawn, MD",1889
Commissioner,4/13/2018,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Sharon Y. Bowen,5 Years,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,15,"Washington, DC",189
Associate Commissioner for Budget,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Budget,40149,37287,70,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1890
Associate Commissioner for Facilities and Supply Management,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Facilities and Supply Management,37291,37287,80,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1891
Deputy Associate Commissioner for Facilities and Supply Management,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Facilities and Supply Management,37291,37287,80,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1892
Associate Commissioner for Financial Policy and Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Financial Policy and Operations,40150,37287,90,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1893
Deputy Associate Commissioner for Financial Policy and Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Financial Policy and Operations,40150,37287,90,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1894
Associate Commissioner for Quality Improvement,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Quality Improvement,37324,37287,100,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1895
Associate Commissioner for Quality Review,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Quality Review,37321,37287,110,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1896
Deputy Associate Commissioner for Quality Review,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Quality Review,37321,37287,110,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1897
Associate Commissioner for Security and Emergency Preparedness,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Security and Emergency Preparedness,37335,37287,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1898
Deputy Commissioner for Communications,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,37303,37300,130,Douglas K. Walker,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Woodlawn, MD",1899
Council Member (Expert),,Executive,ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION,39397,-1,1,Terry Guen,,Presidential Appointment (without Senate Confirmation)(PA),Daily Pay Rate* (per diem)(PD),,5,"Washington, DC",19
Commissioner,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Vacant,5 Years,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,20,"Washington, DC",190
Assistant Deputy Commissioner for Communications,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,37303,37300,130,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1900
Press Officer,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF COMMUNICATIONS,37303,37300,130,Vacant,,,Senior Executive Service(ES),,15,"Woodlawn, MD",1901
Associate Commissioner for Communications Planning and Technology,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Communications Planning and Technology,37313,37303,140,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1902
Associate Commissioner for External Affairs,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of External Affairs,37299,37303,150,John Jioni Palmer,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Woodlawn, MD",1903
Associate Commissioner for Public Inquiries,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Public Inquiries,37317,37303,160,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1904
Deputy Commissioner for Disability Adjudication and Review,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY ADJUDICATION AND REVIEW,37322,37300,170,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1905
Assistant Deputy Commissioner for Disability Adjudication and Review,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY ADJUDICATION AND REVIEW,37322,37300,170,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1906
Senior Advisor to the Deputy Commissioner for Disability Adjudication and Review,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF DISABILITY ADJUDICATION AND REVIEW,37322,37300,170,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1907
"Executive Director, Office of Appellate Operations",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Appellate Operations,40144,37322,180,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Falls Church, VA",1908
"Deputy Executive Director, Office of Appellate Operations",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Appellate Operations,40144,37322,180,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Falls Church, VA",1909
Commissioner,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Vacant,5 Years,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,25,"Washington, DC",191
"Associate Commissioner for Budget, Facilities and Security",,Executive,SOCIAL SECURITY ADMINISTRATION,"Office of Budget, Facilities and Security",37332,37322,190,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Falls Church, VA",1910
"Deputy Associate Commissioner for Budget, Facilities and Security",,Executive,SOCIAL SECURITY ADMINISTRATION,"Office of Budget, Facilities and Security",37332,37322,190,Vacant,,,Senior Executive Service(ES),,10,"Falls Church, VA",1911
Associate Commissioner for Electronic Services and Strategic Information,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Electronic Services and Strategic Information,37333,37322,200,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Falls Church, VA",1912
Deputy Associate Commissioner for Electronic Services and Strategic Information,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Electronic Services and Strategic Information,37333,37322,200,Vacant,,,Senior Executive Service(ES),,10,"Falls Church, VA",1913
Associate Commissioner for Executive Operations and Human Resources,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Executive Operations and Human Resources,37323,37322,210,Vacant,,,Senior Executive Service(ES),,5,"Falls Church, VA",1914
Deputy Associate Commissioner for Executive Operations and Human Resources,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Executive Operations and Human Resources,37323,37322,210,Vacant,,,Senior Executive Service(ES),,10,"All Others, ",1915
General Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE GENERAL COUNSEL,37294,37300,220,Andy Liu,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Woodlawn, MD",1916
Deputy General Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE GENERAL COUNSEL,37294,37300,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1917
Senior Advisor to the General Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE GENERAL COUNSEL,37294,37300,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1918
Senior Advisor to the General Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE GENERAL COUNSEL,37294,37300,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Memphis, TN",1919
Director of Legislative Affairs,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Cory Claussen,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$183,146 ",30,"Washington, DC",192
Senior Advisor to the General Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF THE GENERAL COUNSEL,37294,37300,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,25,"Woodlawn, MD",1920
Associate General Counsel for General Law,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of General Law,40142,37294,230,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1921
Deputy Associate General Counsel for General Law,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of General Law,40142,37294,230,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1922
Executive Director for Privacy and Disclosure,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Privacy and Disclosure,40143,37294,240,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1923
Associate General Counsel for Program Law,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Program Law,37297,37294,250,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1924
Deputy Associate General Counsel for Program Law,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Program Law,37297,37294,250,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1925
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Vacant,,,Senior Executive Service(ES),,5,"Boston, MA",1926
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"New York New York, NY",1927
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Vacant,,,Senior Executive Service(ES),,15,"Philadelphia, PA",1928
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Atlanta, GA",1929
"Director, Office of Public Affairs",,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Steven W. Adamske,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$189,372 ",35,"Washington, DC",193
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Vacant,,,Senior Executive Service(ES),,25,"Chicago, IL",1930
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,30,"Dallas, TX",1931
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,35,"Kansas City, MO",1932
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,40,"Denver, CO",1933
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Vacant,,,Senior Executive Service(ES),,45,"Richmond, CA",1934
Regional Chief Counsel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Chief Counsels,37295,37294,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,50,"Seattle, WA",1935
Deputy Commissioner for Human Resources,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,37298,37300,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1936
Assistant Deputy Commissioner for Human Resources,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,37298,37300,280,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1937
Director Executive and Special Services Staff,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,37298,37300,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1938
Senior Advisor to the Deputy Commissioner for Human Resources,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,37298,37300,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Woodlawn, MD",1939
Public Affairs Specialist (Speechwriter),,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Christopher Spina,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$155,699 ",40,"District of Columbia, DC",194
Executive Director for Strategic Human Capital Management,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF HUMAN RESOURCES,37298,37300,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,25,"Woodlawn, MD",1940
Associate Commissioner for Labor-Management and Employee Relations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Labor-Management and Employee Relations,40153,37298,300,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1941
Deputy Associate Commissioner for Labor-Management and Employee Relations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Labor-Management and Employee Relations,40153,37298,300,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1942
Associate Commissioner for Learning,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Learning,37314,37298,310,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1943
Associate Commissioner for Personnel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Personnel,40154,37298,320,Vacant,,,Senior Executive Service(ES),,5,"Woodlawn, MD",1944
Deputy Associate Commissioner for Personnel,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Personnel,40154,37298,320,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1945
Deputy Commissioner for Legislative and Congressional Affairs,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,37327,37300,330,Judy L. Chesser,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Washington, DC",1946
Assistant Deputy Commissioner for Legislation and Congressional Affairs,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,37327,37300,330,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Washington, DC",1947
Legislative Liaison,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,37327,37300,330,Femeia Adamson,,Schedule C Excepted Appointment(SC),General Schedule(GS),14,15,"Washington, DC",1948
Associate Commissioner for Legislative Development and Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Legislative Development and Operations,37284,37327,340,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1949
Administrative Assistant to the Commissioner,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Shonneice Jones,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$83,006 ",45,"Washington, DC",195
Deputy Commissioner for Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,37309,37300,350,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1950
Assistant Deputy Commissioner for Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,37309,37300,350,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1951
Assistant Deputy Commissioner for Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,37309,37300,350,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Woodlawn, MD",1952
Senior Advisor to the Deputy Commissioner for Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,37309,37300,350,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,30,"Woodlawn, MD",1953
Senior Advisor to the Deputy Commissioner for Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,OFFICE OF OPERATIONS,37309,37300,350,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,35,"Woodlawn, MD",1954
Associate Commissioner for Central Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Central Operations,37311,37309,360,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1955
Deputy Associate Commissioner for Central Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Central Operations,37311,37309,360,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1956
Assistant Associate Commissioner for Management and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Central Operations,37311,37309,360,Vacant,,,Senior Executive Service(ES),,15,"Woodlawn, MD",1957
Assistant Associate Commissioner for Disability Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Central Operations,37311,37309,360,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Woodlawn, MD",1958
Assistant Associate Commissioner for Earnings and International Operations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Central Operations,37311,37309,360,Vacant,,,Senior Executive Service(ES),,25,"Baltimore, MD",1959
Administrative Assistant,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chairperson,37828,37828,10,Vontrece Wilson,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$77,573 ",50,"District of Columbia, DC",196
Associate Commissioner for Disability Determinations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Disability Determinations,37320,37309,370,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1960
Deputy Associate Commissioner for Disability Determinations,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Disability Determinations,37320,37309,370,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1961
Associate Commissioner for Electronic Services and Technology,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Electronic Services and Technology,37326,37309,380,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1962
Deputy Associate Commissioner for Electronic Services and Technology,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Electronic Services and Technology,37326,37309,380,Vacant,,,Senior Executive Service(ES),,10,"Woodlawn, MD",1963
Associate Commissioner for Public Service and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Public Service and Operations Support,37312,37309,390,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1964
Deputy Associate Commissioner for Public Service and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Public Service and Operations Support,37312,37309,390,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Dallas, TX",1965
Deputy Associate Commissioner for Public Service and Operations Support (Facilities and Security),,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Public Service and Operations Support,37312,37309,390,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Woodlawn, MD",1966
Associate Commissioner for Telephone Services,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Telephone Services,37330,37309,400,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Woodlawn, MD",1967
Deputy Associate Commissioner for Telephone Services,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Telephone Services,37330,37309,400,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Woodlawn, MD",1968
Regional Commissioner Region I,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Boston, MA",1969
Chief Economist,,Executive,COMMODITY FUTURES TRADING COMMISSION,Office of the Chief Economist,37834,37828,20,Sayee Srinivasan,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$235,300 ",5,"Washington, DC",197
"Deputy Regional Commissioner, Region I",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Boston, MA",1970
Assistant Regional Commissioner for Management and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Vacant,,,Senior Executive Service(ES),,15,"Boston, MA",1971
Regional Commissioner Region II,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"New York New York, NY",1972
"Deputy Regional Commissioner, Region II",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,25,"New York New York, NY",1973
Assistant Regional Commissioner for Management and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Vacant,,,Senior Executive Service(ES),,30,"New York New York, NY",1974
Assistant Regional Commissioner for Processing Center Operations (New York),,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Vacant,,,Senior Executive Service(ES),,35,"New York New York, NY",1975
Regional Commissioner Region III,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,40,"Philadelphia, PA",1976
"Deputy Regional Commissioner, Region III",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,45,"Philadelphia, PA",1977
Assistant Regional Commissioner for Management and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,50,"Philadelphia, PA",1978
Assistant Regional Commissioner for Processing Center Operations (Philadelphia),,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,55,"Philadelphia, PA",1979
"Director, Division of Enforcement ",,Executive,COMMODITY FUTURES TRADING COMMISSION,DIVISION OF ENFORCEMENT,37831,37835,30,Aitan Goelman,,Schedule C Excepted Appointment(SC),Other Pay Plan* (all those not listed separately)(OT),"$235,300 ",5,"Washington, DC",198
Regional Commissioner Region IV,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,60,"Atlanta, GA",1980
"Deputy Regional Commissioner, Region IV",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,65,"Atlanta, GA",1981
Assistant Regional Commissioner for Management and Operations Support,,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,70,"Atlanta, GA",1982
Assistant Regional Commissioner for Processing Center Operations (Atlanta),,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Vacant,,,Senior Executive Service(ES),,75,"Birmingham, AL",1983
"Senior Advisor to the Regional Commissioner, Atlanta",,Executive,SOCIAL SECURITY ADMINISTRATION,Office of Regional Commissioners,37310,37309,410,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,80,"Atlanta, GA",1984
